Date,AAPL,MSFT,GOOGL,AMZN,TSLA,META,NVDA,BRK-B,UNH,JNJ,V,WMT,XOM,LLY,JPM,PG,MA,HD,CVX,MRK,ABBV,PEP,KO,AVGO,PFE,TMO,COST,BAC,NFLX,CRM,ACN,LIN,MCD,ABT,ADBE,DHR,VZ,WFC,NEE,CMCSA,PM,NKE,TXN,RTX,UNP,LOW,AMD,T,QCOM,HON
2024-12-11 00:00:00-05:00,245.6180877685547,446.5363464355469,194.76502990722656,230.25999450683594,424.7699890136719,631.1224975585938,139.27964782714844,461.3900146484375,524.2077026367188,143.18795776367188,312.19415283203125,94.04303741455078,108.90206909179688,791.296875,239.64102172851562,167.4004669189453,532.098388671875,413.78912353515625,150.9567413330078,96.18756103515625,169.693603515625,152.22042846679688,61.272239685058594,181.7314910888672,23.941926956176758,532.4815063476562,990.9264526367188,45.270957946777344,936.5599975585938,352.7150573730469,358.7185363769531,436.2779541015625,291.08734130859375,112.51557159423828,549.9299926757812,234.39418029785156,39.96055603027344,70.44564819335938,72.2279281616211,38.670528411865234,123.4005355834961,77.53206634521484,187.3290557861328,115.25341796875,229.667236328125,263.9306640625,130.14999389648438,22.715227127075195,157.12936401367188,225.5084686279297
2024-12-12 00:00:00-05:00,247.0828857421875,447.10321044921875,191.33621215820312,228.97000122070312,418.1000061035156,629.2371826171875,137.31008911132812,458.6300048828125,506.7481689453125,142.79739379882812,312.6319274902344,93.18143463134766,108.80475616455078,777.6981811523438,237.67295837402344,167.61630249023438,530.0673217773438,406.9544982910156,149.50718688964844,97.63399505615234,168.5452423095703,154.28858947753906,62.44603729248047,179.2118682861328,24.074783325195312,523.1544189453125,984.6503295898438,45.270957946777344,925.5499877929688,355.87591552734375,355.1100158691406,434.2675476074219,291.60833740234375,112.23955535888672,474.6300048828125,233.49801635742188,40.046207427978516,69.6585464477539,71.48592376708984,39.1866569519043,123.57568359375,76.65695190429688,187.33885192871094,114.37625122070312,229.5984649658203,259.5958251953125,130.60000610351562,22.599136352539062,155.56622314453125,224.15972900390625
2024-12-13 00:00:00-05:00,247.2522735595703,444.8257141113281,189.20315551757812,227.4600067138672,436.2300109863281,618.8228759765625,134.22076416015625,457.8999938964844,511.3856506347656,143.16842651367188,313.1393127441406,93.54669952392578,107.85118103027344,784.427978515625,236.10836791992188,167.82232666015625,526.67236328125,409.4683837890625,148.69541931152344,98.35721588134766,168.7204132080078,153.38560485839844,61.741756439208984,222.99803161621094,24.27406120300293,525.4281005859375,985.6066284179688,44.8681526184082,918.8699951171875,352.17828369140625,353.6311340332031,431.0984191894531,291.5788879394531,111.7663803100586,465.69000244140625,233.88638305664062,40.23653793334961,69.30435943603516,71.87644958496094,38.87503433227539,123.2059326171875,75.95881652832031,187.22157287597656,116.05172729492188,230.84613037109375,258.5022888183594,126.91000366210938,22.860342025756836,155.851318359375,224.09078979492188
2024-12-16 00:00:00-05:00,250.1519775390625,449.1221008300781,196.02093505859375,232.92999267578125,463.0199890136719,623.2056274414062,131.9712371826172,455.20001220703125,489.78973388671875,140.46363830566406,314.28350830078125,94.16207122802734,105.54509735107422,774.3681030273438,235.7541046142578,167.9008026123047,527.9766845703125,403.3113098144531,144.3371124267578,97.25884246826172,167.027099609375,151.4921875,61.1842041015625,247.9960479736328,23.960908889770508,528.7887573242188,989.11328125,44.67166519165039,921.0800170898438,355.08074951171875,352.0339660644531,424.166015625,292.6700744628906,111.01720428466797,461.5299987792969,233.17938232421875,38.904205322265625,70.81952667236328,71.06610870361328,37.84278106689453,122.54426574707031,75.90965270996094,185.14015197753906,116.40653991699219,228.7928924560547,256.2462463378906,126.69000244140625,22.096073150634766,155.22213745117188,232.34088134765625
2024-12-17 00:00:00-05:00,252.58334350585938,451.9764404296875,194.7849578857422,231.14999389648438,479.8599853515625,618.41357421875,130.36160278320312,455.6600036621094,477.0365295410156,142.96337890625,316.68121337890625,94.70796203613281,105.0975112915039,773.9904174804688,234.55360412597656,167.10614013671875,528.6735229492188,401.1116638183594,143.12913513183594,97.25884246826172,170.67649841308594,151.60870361328125,62.01564407348633,238.3043670654297,25.080665588378906,527.3727416992188,978.3641967773438,44.259037017822266,919.1300048828125,348.8583984375,352.27056884765625,426.0476989746094,291.0676574707031,111.67767333984375,455.2300109863281,232.5321807861328,38.80903625488281,69.66838073730469,70.55841064453125,37.78435134887695,122.64157104492188,76.69627380371094,183.83070373535156,115.72649383544922,225.83584594726562,253.93104553222656,125.0199966430664,22.08639907836914,155.2516326904297,229.515380859375
2024-12-18 00:00:00-05:00,247.1725616455078,434.999755859375,187.7877655029297,220.52000427246094,440.1300048828125,596.200439453125,128.88192749023438,446.5899963378906,490.9884338378906,141.3424530029297,308.2045593261719,92.85192108154297,103.55036926269531,760.1631469726562,226.691162109375,165.8798065185547,517.6721801757812,386.7255859375,139.23468017578125,95.58699035644531,168.37982177734375,149.94833374023438,61.4776496887207,221.8275146484375,24.5682315826416,514.7477416992188,961.0897827148438,42.73625183105469,889.5499877929688,335.5835266113281,342.71697998046875,418.1941833496094,285.9557189941406,110.33702087402344,441.30999755859375,227.3245391845703,38.295135498046875,67.65144348144531,68.84986877441406,36.86895751953125,121.1917495727539,75.61466217041016,180.78182983398438,112.79932403564453,220.58978271484375,246.10867309570312,121.41000366210938,21.747798919677734,150.46392822265625,223.34259033203125
2024-12-19 00:00:00-05:00,248.90640258789062,434.6416931152344,187.8974151611328,223.2899932861328,436.1700134277344,594.5830688476562,130.65151977539062,449.3399963378906,480.7013854980469,140.1999969482422,313.2786560058594,92.70304107666016,102.6649169921875,753.03564453125,229.23983764648438,165.9877166748047,520.9776000976562,378.0841064453125,136.4031982421875,96.73395538330078,166.9200439453125,147.07421875,61.086387634277344,216.5699920654297,24.454360961914062,515.2564086914062,951.1873168945312,42.61835861206055,902.0399780273438,334.5884094238281,366.9214172363281,415.5400390625,285.31671142578125,110.8200454711914,437.3900146484375,225.19366455078125,38.03818893432617,67.739990234375,68.11762237548828,36.42100143432617,118.87590789794922,75.81131744384766,180.263916015625,113.79476165771484,219.2242431640625,240.8970489501953,118.87999725341797,21.83486557006836,147.85870361328125,223.36227416992188
2024-12-20 00:00:00-05:00,253.5897979736328,434.2140808105469,190.78797912597656,224.9199981689453,421.05999755859375,584.2802124023438,134.670654296875,453.20001220703125,491.39129638671875,141.0690460205078,316.0942077636719,91.55168914794922,103.01520538330078,763.1950073242188,233.8057403564453,164.8791046142578,525.7066650390625,385.5275573730469,138.04603576660156,95.30511474609375,170.8711395263672,148.3559112548828,61.1842041015625,219.02017211914062,25.014240264892578,522.595947265625,950.4601440429688,43.39448928833008,909.0499877929688,341.97216796875,361.212890625,420.2145080566406,287.7252197265625,112.60429382324219,447.1700134277344,227.57345581054688,38.0001220703125,69.2059555053711,69.97262573242188,37.21953201293945,120.87064361572266,75.65399932861328,182.60919189453125,114.800048828125,222.33848571777344,244.0496368408203,119.20999908447266,22.009004592895508,150.30662536621094,224.7799530029297
2024-12-23 00:00:00-05:00,254.36703491210938,432.8714294433594,193.99754333496094,225.05999755859375,430.6000061035156,598.8560180664062,139.6395721435547,454.3500061035156,497.49273681640625,141.8502197265625,315.606689453125,89.67579650878906,103.4336166381836,791.54541015625,234.58311462402344,164.9281463623047,526.6326293945312,385.3802490234375,138.16200256347656,96.58816528320312,173.6057891845703,146.8994598388672,61.01791763305664,231.1051025390625,25.34636878967285,523.83251953125,946.3158569335938,43.11940383911133,911.4500122070312,341.225830078125,353.7198791503906,418.2536315917969,286.3587646484375,112.68315124511719,446.739990234375,228.18084716796875,38.00963592529297,69.40274047851562,70.77320861816406,36.985816955566406,120.44249725341797,75.47700500488281,185.8046417236328,114.94788360595703,223.1342315673828,243.70480346679688,124.5999984741211,22.096073150634766,155.56622314453125,223.6182403564453
2024-12-24 00:00:00-05:00,257.28668212890625,436.92913818359375,195.4727325439453,229.0500030517578,462.2799987792969,606.742919921875,140.18946838378906,458.6600036621094,497.2569580078125,142.41656494140625,319.0192565917969,91.9884033203125,103.53091430664062,790.93896484375,238.44052124023438,165.74244689941406,533.3529052734375,389.0037841796875,139.0027313232422,96.6659164428711,175.17262268066406,148.37535095214844,61.467872619628906,238.3957977294922,25.37483787536621,527.5123291015625,955.192138671875,43.600807189941406,932.1199951171875,342.74835205078125,356.5396423339844,421.6604309082031,289.0130310058594,113.12674713134766,447.94000244140625,229.76405334472656,37.876399993896484,70.43579864501953,71.18326568603516,37.39482498168945,119.59596252441406,75.50650787353516,188.0522003173828,115.14501190185547,225.7081298828125,246.51258850097656,126.29000091552734,22.202491760253906,156.6673126220703,225.3509521484375
2024-12-26 00:00:00-05:00,258.1037292480469,435.7157897949219,194.96438598632812,227.0500030517578,454.1300048828125,602.3502197265625,139.89952087402344,459.0799865722656,502.2187194824219,142.1529083251953,319.2779541015625,92.09759521484375,103.61848449707031,789.4181518554688,239.2572479248047,166.93936157226562,533.7908935546875,388.0218505859375,139.13804626464844,97.07416534423828,174.39405822753906,148.0160675048828,61.203765869140625,244.04537963867188,25.204029083251953,525.71728515625,952.5222778320312,43.767818450927734,924.1400146484375,340.0516052246094,355.35650634765625,420.22442626953125,289.809326171875,113.62947845458984,450.1600036621094,230.29177856445312,38.02866744995117,70.60307312011719,70.65605163574219,37.248748779296875,119.74353790283203,75.65399932861328,187.35838317871094,115.35197448730469,226.17967224121094,245.7342987060547,125.05999755859375,22.2121639251709,155.851318359375,228.2650604248047
